id	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications	featureId
14_group1_sirius_2436	C16H19NO	[M + H]+	C16H19NO	Alkaloids	0.9942895174026489	Tyrosine alkaloids	0.5468485355377197	Phenylalanine-derived alkaloids	0.5512505769729614	Benzylethers	0.8352562785148621			Benzylethers	0.8352562785148621	Benzene and substituted derivatives	0.9996417760848999	Benzenoids	0.9999731779098511	Organic compounds; Phenylmethylamines; Organonitrogen compounds; Organooxygen compounds; Amine oxides and derivatives; Benzene and substituted derivatives; Benzenoids; Amines; Benzylethers; Benzylamines; Trisubstituted amine oxides and derivatives; Organic cations; Aralkylamines; Hydrocarbon derivatives; Trialkyl amine oxides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	2436
15_group1_sirius_294	C11H20N2O3	[M + H]+	C11H20N2O3	Amino acids and Peptides	0.9992396831512451	Small peptides	0.999316930770874	Dipeptides	0.9999983310699463	Dipeptides	0.9999268054962158	Peptides	0.9997368454933167	Amino acids, peptides, and analogues	0.9999861717224121	Carboxylic acids and derivatives	0.9999986886978149	Organic acids and derivatives	0.9999996423721313	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Alpha amino acid amides; N-acyl-alpha amino acids; Pyrrolidine carboxylic acids; Amines; Primary amines; N-acylpyrrolidines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities	294
16_group1_sirius_6832	C22H34O8	[M + H]+	C22H34O8	Terpenoids	0.9066049456596375	Diterpenoids	0.47941115498542786	Open-chain polyketides	0.1865776628255844	Naphthopyrans	0.6966387629508972					Naphthopyrans	0.6966387629508972	Organoheterocyclic compounds	0.6488090753555298	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Naphthalenes; Alcohols and polyols; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Naphthopyrans; Secondary alcohols; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	6832
17_group1_sirius_13904	C18H30O2	[M + H]+	C18H30O2	Fatty acids	0.9561614394187927	Fatty Acids and Conjugates	0.8864623308181763	Unsaturated fatty acids	0.9867033958435059	Lineolic acids and derivatives	0.7227668166160583			Lineolic acids and derivatives	0.7227668166160583	Fatty Acyls	0.9960899949073792	Lipids and lipid-like molecules	0.9975220561027527	Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Straight chain fatty acids; Unsaturated fatty acids; Lineolic acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	13904
18_group1_sirius_4154	C17H30O5	[M + Na]+	C17H30O5	Polyketides	0.858267068862915	Linear polyketides	0.5814204216003418	Open-chain polyketides	0.9268199801445007	Long-chain fatty acids	0.5040801167488098	Long-chain fatty acids	0.5040801167488098	Fatty acids and conjugates	0.27807340025901794	Fatty Acyls	0.6925233602523804	Lipids and lipid-like molecules	0.6547853350639343	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Lactones; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Organic hydroperoxides; Secondary alcohols; Carbonyl compounds; Peroxols; Long-chain fatty acids; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	4154
19_group1_sirius_13690	C19H28ClN3O2	[M + H]+	C19H28ClN3O2	Alkaloids	0.9873738884925842	Lysine alkaloids	0.5589772462844849	Quinoline alkaloids	0.32716497778892517	Alkyl aryl ethers	0.7343196868896484	Alkyl aryl ethers	0.7343196868896484	Ethers	0.9241776466369629	Organooxygen compounds	0.9999847412109375	Organic oxygen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Alkyl aryl ethers; Piperazines; Ethers; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl chlorides; Organochlorides; Trialkylamines; Benzene and substituted derivatives; Diazinanes; Benzenoids; Amines; Tertiary amines; Aryl halides; N-alkylpiperazines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	13690
20_group1_sirius_13665	C33H52O5	[M + H]+	C33H52O5	Terpenoids	0.7849078178405762	Triterpenoids	0.18664056062698364	Oleanane triterpenoids	0.061575040221214294	Triterpenoids	0.5014104247093201			Triterpenoids	0.5014104247093201	Prenol lipids	0.4798777103424072	Lipids and lipid-like molecules	0.8460947275161743	Organic compounds; Lipids and lipid-like molecules; Ketones; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Triterpenoids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	13665
21_group1_sirius_2113	C6H10N2O3P2S11	[M + H]+	C6H10N2O3P2S11	Alkaloids	0.9562499523162842	Ornithine alkaloids	0.041698798537254333	Linear peptides	0.058503493666648865	Azoles	0.9590621590614319					Azoles	0.9590621590614319	Organoheterocyclic compounds	0.9480755925178528	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Organic disulfides; Sulfenyl compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	2113
22_group1_sirius_4648	C13H24O6S	[M + Na]+	C13H24O6S	Fatty acids	0.9171366691589355	Fatty Acids and Conjugates	0.7724317908287048	Hydroxy fatty acids	0.29833540320396423	Fatty acid esters	0.7859984636306763			Fatty acid esters	0.7859984636306763	Fatty Acyls	0.9776366353034973	Lipids and lipid-like molecules	0.9695387482643127	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Hydroxy acids and derivatives; Sulfones; Carboxylic acid derivatives; Thioethers; Carboxylic acids; Carboxylic acid esters; Thia fatty acids; Secondary alcohols; Carbonyl compounds; Sulfenyl compounds; Methyl esters; Dialkylthioethers; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	4648
23_group1_sirius_14080	C23H48O5	[M + H]+	C23H48O5	Fatty acids	0.8609013557434082	Glycerolipids	0.9263213872909546	Monoacylglycerols	0.774773359298706	Polyethylene glycols	0.9158467054367065	Dialkyl ethers	0.9908285140991211	Ethers	0.9938638210296631	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	14080
25_group1_sirius_2170	C13H20O4	[M + H]+	C13H20O4	Polyketides	0.7664133310317993	Macrolides	0.399850457906723	Macrolide lactones	0.7656566500663757	Enoate esters	0.7524280548095703	Carboxylic acid esters	0.9495287537574768	Carboxylic acid derivatives	0.9436632990837097	Carboxylic acids and derivatives	0.9441840648651123	Organic acids and derivatives	0.9424394369125366	Organic compounds; Organoheterocyclic compounds; Lactones; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	2170
26_group1_sirius_9491	C18H32O4	[M + H3N + H]+	C18H35NO4	Fatty acids	0.9963531494140625	Octadecanoids	0.8216532468795776	Other Octadecanoids	0.8900498151779175	Lineolic acids and derivatives	0.8233779072761536			Lineolic acids and derivatives	0.8233779072761536	Fatty Acyls	0.9992295503616333	Lipids and lipid-like molecules	0.9986624717712402	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Unsaturated fatty acids; Hydroxy fatty acids; Lineolic acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Polyols; 1,2-diols; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	9491
29_group1_sirius_14471	C30H46O3	[M + H]+	C30H46O3	Terpenoids	0.9989097118377686	Triterpenoids	0.9948227405548096	Lupane triterpenoids	0.44461479783058167	Triterpenoids	0.975385308265686			Triterpenoids	0.975385308265686	Prenol lipids	0.9473282694816589	Lipids and lipid-like molecules	0.9954755902290344	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Steroids and steroid derivatives; Prenol lipids; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Unsaturated fatty acids; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carboxylic acid esters; Cyclic alcohols and derivatives; Hydroxysteroids; Triterpenoids; Secondary alcohols; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	14471
31_group1_sirius_2955	C4H8NO4P3S7	[M + H]+	C4H8NO4P3S7	Alkaloids	0.8801672458648682	Small peptides	0.011629742570221424	Linear peptides	0.09718068689107895	Sulfenyl compounds	0.8476746678352356					Sulfenyl compounds	0.8476746678352356	Organosulfur compounds	0.6214370131492615	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Sulfenyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	2955
32_group1_sirius_11475	C24H50O7	[M + H]+	C24H50O7	Fatty acids	0.9240837693214417	Glycerolipids	0.7950128316879272	Monoacylglycerols	0.775930643081665	Fatty Acyls	0.5757874250411987					Fatty Acyls	0.5757874250411987	Lipids and lipid-like molecules	0.8025611042976379	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Fatty Acyls; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	11475
34_group1_sirius_8140	C13H16O4	[M + H]+	C13H16O4	Polyketides	0.5897220373153687	Meroterpenoids	0.45584404468536377	Merohemiterpenoids	0.8235997557640076	Alkyl-phenylketones	0.9494096040725708	Ketones	0.9798746705055237	Carbonyl compounds	0.9977300763130188	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Ketones; Acetophenones; Alkyl aryl ethers; Anisoles; Ethers; Benzoyl derivatives; Organooxygen compounds; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Aryl ketones; Aryl alkyl ketones; Organic oxides; Methoxybenzenes; Hydrocarbon derivatives; Phenylketones; Alkyl-phenylketones; Organic oxygen compounds; Phenoxy compounds; Chemical entities	8140
36_group1_sirius_8409	C20H32O8	[M + H]+	C20H32O8	Polyketides	0.8826237320899963	Polyethers	0.6901760697364807	Macrotetrolides	0.999261200428009	Oxolanes	0.620832085609436					Oxolanes	0.620832085609436	Organoheterocyclic compounds	0.9979889392852783	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acids; Carboxylic acid esters; Carbonyl compounds; Oxolanes; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	8409
37_group1_sirius_554	C14H18N2O2	[M + H]+	C14H18N2O2	Amino acids and Peptides	0.10688086599111557	Small peptides	0.132149800658226	Simple indole alkaloids	0.04282465577125549	Alpha amino acids	0.9678584337234497	Amino acids and derivatives	0.8509106040000916	Amino acids, peptides, and analogues	0.8395975232124329	Carboxylic acids and derivatives	0.9999414682388306	Organic acids and derivatives	0.9997637867927551	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrroles; Indoles and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Quaternary ammonium salts; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid salts; Carboxylic acids; Carbonyl compounds; Substituted pyrroles; Alpha amino acids; Benzenoids; Amines; Indoles; Organic cations; Organic salts; Aralkylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; 3-alkylindoles; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	554
39_group1_sirius_13229	C2H8O8P2	[M - H4O2 + H]+	C2H4O6P2	Carbohydrates	0.5524579286575317	Saccharides	0.5686129331588745	Monosaccharides	0.08482533693313599	Organic phosphonic acids	0.989410400390625			Organic phosphonic acids	0.989410400390625	Organic phosphonic acids and derivatives	0.9946514964103699	Organic acids and derivatives	0.9963710308074951	Organic compounds; Organic acids and derivatives; Organophosphorus compounds; Organic phosphonic acids and derivatives; Organic phosphonic acids; Organic anions; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Chemical entities	13229
42_group1_sirius_9485	C20H43NO7	[M + H]+	C20H43NO7	Fatty acids	0.9633147120475769	Sphingolipids	0.4515298306941986	Sphingoid bases	0.2267373651266098	Fatty Acyls	0.7536575794219971					Fatty Acyls	0.7536575794219971	Lipids and lipid-like molecules	0.5499845743179321	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monoalkylamines; Dialkyl ethers; Secondary alcohols; Carbonyl compounds; Polyols; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	9485
43_group1_sirius_721	C13H25N3O6	[M + H]+	C13H25N3O6	Amino acids and Peptides	0.9999468326568604	Small peptides	0.99993896484375	Tripeptides	0.8853402137756348	Oligopeptides	0.5572700500488281	Peptides	0.9998190999031067	Amino acids, peptides, and analogues	0.9999990463256836	Carboxylic acids and derivatives	0.9999998807907104	Organic acids and derivatives	1.0	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Fatty amides; Branched fatty acids; Dicarboxylic acids and derivatives; Amino acids and derivatives; Peptides; Alpha amino acid esters; Monoalkylamines; Hydroxy acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Carboxylic acid esters; Secondary carboxylic acid amides; Beta hydroxy acids and derivatives; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Methyl esters; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Serine and derivatives; Leucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities	721
47_group1_sirius_11068	C32H51N5O5	[M + H]+	C32H51N5O5	Amino acids and Peptides	0.30301523208618164	Tryptophan alkaloids	0.07281354814767838	Microginins	0.22469767928123474	Alpha amino acids and derivatives	0.8089997172355652	Amino acids and derivatives	0.9236451387405396	Amino acids, peptides, and analogues	0.9310762882232666	Carboxylic acids and derivatives	0.8561649322509766	Organic acids and derivatives	0.8534520268440247	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrimidines and pyrimidine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Diazines; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Trialkylamines; Benzenoids; Amines; Tertiary amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	11068
48_group1_sirius_1306	C9H17NO	[M + H]+	C9H17NO	Fatty acids	0.4226784408092499	Fatty amides	0.5550827980041504	N-acyl amines	0.12402743101119995	Fatty amides	0.9483591914176941			Fatty amides	0.9483591914176941	Fatty Acyls	0.9234408736228943	Lipids and lipid-like molecules	0.908048152923584	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	1306
49_group1_sirius_6516	C25H38O8	[M + H]+	C25H38O8	Terpenoids	0.5521440505981445	Linear polyketides	0.43639132380485535	Open-chain polyketides	0.26442205905914307	Tricarboxylic acids and derivatives	0.724466860294342			Tricarboxylic acids and derivatives	0.724466860294342	Carboxylic acids and derivatives	0.9853604435920715	Organic acids and derivatives	0.9949395656585693	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Lactones; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Tricarboxylic acids and derivatives; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	6516
54_group1_sirius_9593	C21H34O4	[M + H]+	C21H34O4	Terpenoids	0.6235984563827515	Diterpenoids	0.4844719171524048	Norkaurane diterpenoids	0.06642738729715347	Diterpenoids	0.5636491179466248			Diterpenoids	0.5636491179466248	Prenol lipids	0.4743291735649109	Lipids and lipid-like molecules	0.9047044515609741	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Cyclic alcohols and derivatives; Diterpenoids; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	9593
