confidenceRank	structurePerIdRank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id	featureId
11	1	1	1	1	0.997466118810233	-46.800540542049816	N/A	41.63484559447542	C19H21NO3	[M + H]+	DLKOUKNODPCIHZ	InChI=1S/C19H21NO3/c21-19(20-12-6-3-7-13-20)9-5-2-1-4-8-16-10-11-17-18(14-16)23-15-22-17/h1-2,4-5,8-11,14H,3,6-7,12-13,15H2	null	C1CCN(CC1)C(=O)C=CC=CC=CC2=CC3=C(C=C2)OCO3	3.82901597	10244953;91274708;101878852	COCONUT:(CNP0136210);HMDB:(34371);Natural Products:(UNPD24277);PubChem:(10244953 91274708 101878852);SuperNatural:(SN00163348 SN00163350 SN00163352 SN00158961 SN00163346);PubChem class - bio and metabolites;PubMed	19955786	312.15951	299.7030277639744	5250_group1_sirius_9368	9368
12	1	1	1	2	0.9972179705171007	-0.9807904437392871	N/A	10.571874977665983	C18H20N2O3	[M + H]+	GKZIWHRNKRBEOH	InChI=1S/C18H20N2O3/c19-15(11-13-7-3-1-4-8-13)17(21)20-16(18(22)23)12-14-9-5-2-6-10-14/h1-10,15-16H,11-12,19H2,(H,20,21)(H,22,23)	Di-L-phenylalanine	C1=CC=C(C=C1)CC(C(=O)NC(CC2=CC=CC=C2)C(=O)O)N	2.04445481	65104;6426953;6993089;6993090;6993091;36688992;36688993;36688994;36688995;44369305;70064327;101521825;101361980;102532464;129853212	HMDB:(13302);ZINC bio:(ZINC01605264 ZINC01605265 ZINC01605266 ZINC01605267);additional;MeSH:(65104 6993090);PubMed;NORMAN:(NS00045604);COCONUT:(CNP0348037);PubChem:(65104 6426953 6993089 6993090 6993091 36688992 36688993 36688994 36688995 44369305 70064327 101521825 101361980 102532464 129853212);CHEBI:(72723);PubChem class - bio and metabolites;Training Set;PubChem class - drug	53239918	313.15738	162.26796875000002	4888_group1_sirius_2307	2307
13	1	1	3	3	0.9940218895631405	-14.201248971414962	N/A	16.24082216330756	C26H43NO4	[M - H2O + H]+	XBSQTYHEGZTYJE	InChI=1S/C26H43NO4/c1-16(4-9-23(29)27-15-24(30)31)20-7-8-21-19-6-5-17-14-18(28)10-12-25(17,2)22(19)11-13-26(20,21)3/h16-22,28H,4-15H2,1-3H3,(H,27,29)(H,30,31)	Glycolithocholate	CC(CCC(=O)NCC(=O)O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C	5.5999999	115245;168172;4067466;12310305;14849364;10433018;21967493;22808454;25010710;25096730;25201677;23928177;24993940;57696922;69298080;69298083;71749826;71771790;86334430;86334432;86334434;86334436;99565652;99565653;99565654;99565655;91873574;124825509;124914682;124914683;124917402;124917403;124917404;124351420;124427184;126969141;129662110;133655656;133688657;138108022;139292136	HMDB:(698);ZINC bio:(ZINC06036201);additional;MeSH:(115245);PubMed;COCONUT:(CNP0082698 CNP0176062);PubChem:(115245 168172 4067466 12310305 14849364 10433018 21967493 22808454 25010710 25096730 25201677 23928177 24993940 57696922 69298080 69298083 71749826 71771790 86334430 86334432 86334434 86334436 99565652 99565653 99565654 99565655 91873574 124825509 124914682 124914683 124917402 124917403 124917404 124351420 124427184 126969141 129662110 133655656 133688657 138108022 139292136);CHEBI:(37998 60008);PubChem class - bio and metabolites;KEGG:(C15557);Training Set;Biocyc:(GLYCOLITHOCHOLATE)	19425646	416.31659	299.58750000000003	1148_group1_sirius_9398	9398
14	1	1	1	1	0.9927910203412286	-4.193619237428871	N/A	16.33267209821578	C14H18N2O3	[M + H]+	IWIANZLCJVYEFX	InChI=1S/C14H18N2O3/c17-13(11-7-4-8-15-11)16-12(14(18)19)9-10-5-2-1-3-6-10/h1-3,5-6,11-12,15H,4,7-9H2,(H,16,17)(H,18,19)	prolylphenylalanine	C1CC(NC1)C(=O)NC(CC2=CC=CC=C2)C(=O)O	1.31420982	1770052;1770053;7081633;5226097;6351946;44369053;53938781;56845412;61157145;61174540;103868978;103869007	COCONUT:(CNP0401040);HMDB:(11179);PubChem:(1770052 1770053 7081633 5226097 6351946 44369053 53938781 56845412 61157145 61174540 103868978 103869007);SuperNatural:(SN00036159 SN00036216 SN00036331 SN00036332);CHEBI:(74795);ZINC bio:(ZINC02115314 ZINC04038394 ZINC05260863 ZINC05260866);additional;PubChem class - bio and metabolites;Training Set;PubMed;KEGG Mine	8610406506	263.13931	136.40899758699666	3400_group1_sirius_1144	1144
15	1	1	1	2	0.9926300795560135	-11.519088302408303	N/A	77.04429726983304	C10H16N2O4	[M + H]+	DTSWLLBBGHRXQH	InChI=1S/C10H16N2O4/c1-5(2)8(10(15)16)12-9(14)6-3-4-7(13)11-6/h5-6,8H,3-4H2,1-2H3,(H,11,13)(H,12,14)(H,15,16)	Pyroglutamylvaline	CC(C)C(C(=O)O)NC(=O)C1CCC(=O)N1	-0.100000001	152416;7408117;21405077;28191821;28191823;28191825;53778778;79011070;103803266;103803279;131841435	COCONUT:(CNP0139647);HMDB:(94651);Natural Products:(UNPD227998);PubChem:(152416 7408117 21405077 28191821 28191823 28191825 53778778 79011070 103803266 103803279 131841435);CHEBI:(132991 132993);ZINC bio:(ZINC04899453);additional;MeSH:(152416);Training Set;PubMed;Biocyc:(CPD-20363)	2680942	229.11834	53.050032725820415	6087_group1_sirius_375	375
16	1	1	1	3	0.9923750493880277	-14.17352382209745	N/A	56.99264533540621	C10H16N2O4	[M + H]+	DTSWLLBBGHRXQH	InChI=1S/C10H16N2O4/c1-5(2)8(10(15)16)12-9(14)6-3-4-7(13)11-6/h5-6,8H,3-4H2,1-2H3,(H,11,13)(H,12,14)(H,15,16)	Pyroglutamylvaline	CC(C)C(C(=O)O)NC(=O)C1CCC(=O)N1	-0.100000001	152416;7408117;21405077;28191821;28191823;28191825;53778778;79011070;103803266;103803279;131841435	COCONUT:(CNP0139647);HMDB:(94651);Natural Products:(UNPD227998);PubChem:(152416 7408117 21405077 28191821 28191823 28191825 53778778 79011070 103803266 103803279 131841435);CHEBI:(132991 132993);ZINC bio:(ZINC04899453);additional;MeSH:(152416);Training Set;PubMed;Biocyc:(CPD-20363)	2680942	229.11822	41.59	5906_group1_sirius_304	304
17	1	1	1	5	0.9901713056406554	-78.45162366954699	N/A	22.081628478570963	C24H29NO9	[M + H]+	CRWVOYRJXPDBPM	InChI=1S/C24H29NO9/c1-25-8-7-24-11-4-6-14(32-23-18(28)16(26)17(27)20(34-23)22(29)30)21(24)33-19-13(31-2)5-3-10(15(19)24)9-12(11)25/h3-6,11-12,14,16-18,20-21,23,26-28H,7-9H2,1-2H3,(H,29,30)	Codeine-6-glucuronide	CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)OC6C(C(C(C(O6)C(=O)O)O)O)O	0.0783400461	161331;5046514;5489029;11102868;21309487;21309488;21309489;60075994;71314933;71314935;76313465;98455487;131705493;131707623;139024173	NORMAN:(NS00001501);COCONUT:(CNP0140305);HMDB:(60464);PubChem:(161331 5046514 5489029 11102868 21309487 21309488 21309489 60075994 71314933 71314935 76313465 98455487 131705493 131707623 139024173);CHEBI:(80580);additional;PubChem class - bio and metabolites;MeSH:(5489029);KEGG:(C16577);Training Set;PubMed	19677550	476.19222	210.95391845703125	61_group1_sirius_4966	4966
18	1	2	1	8	0.989395948242946	-2.604644525658326	N/A	57.68474161003628	C16H34O9	[M + H3N + H]+	GLZWNFNQMJAZGY	InChI=1S/C16H34O9/c17-1-3-19-5-7-21-9-11-23-13-15-25-16-14-24-12-10-22-8-6-20-4-2-18/h17-18H,1-16H2	PED-diol (n=8)	C(COCCOCCOCCOCCOCCOCCOCCO)O	-2.20000005	78798	NORMAN:(NS00010524);COCONUT:(CNP0348115);HMDB:(94680);PubChem class - food;PubChem:(78798);CHEBI:(44794);Maconda:(CON00075);PubChem class - bio and metabolites;PubChem class - safety and toxic;PubMed;KEGG Mine	8810398826	388.25417	139.86333304275578	2081_group1_sirius_1246	1246
19	1	1	1	1	0.9883699661639849	-22.529746093969493	N/A	37.61724339645831	C16H17NO3	[M + H]+	GQIJYUMTOUBHSH	InChI=1S/C16H17NO3/c18-16(17-9-3-4-10-17)6-2-1-5-13-7-8-14-15(11-13)20-12-19-14/h1-2,5-8,11H,3-4,9-10,12H2	Piperylin	C1CCN(C1)C(=O)C=CC=CC2=CC3=C(C=C2)OCO3	2.87841034	636537;117669;643727;11471237;88779280	HMDB:(29374);SuperNatural:(SN00143348 SN00002182 SN00372929);ZINC bio:(ZINC01531693);additional;PubMed;COCONUT:(CNP0202571);KNApSAcK:(2076);Natural Products:(UNPD154178 UNPD108716 UNPD103302 UNPD228615);PubChem:(636537 117669 643727 11471237 88779280);CHEBI:(9691);PubChem class - bio and metabolites;KEGG:(C10174);PubChem class - safety and toxic;Training Set	87613818	272.1281	255.35125	4932_group1_sirius_7310	7310
20	1	1	1	1	0.9866879370708754	-1.8081950154081277	N/A	58.98036381067507	C9H11NO2	[M + H]+	COLNVLDHVKWLRT	InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)	Sabiden	C1=CC=C(C=C1)CC(C(=O)O)N	0.690450609	994;6140;71567;450580;450585;450605;2724448;3823098;5460949;5460950;5460952;5460953;5460957;5460958;10511283;10511284;10702212;6919011;6925665;12132826;12132829;9877477;10012270;9989619;13000972;13000974;13000976;13000978;13000981;13000983;13000986;13000987;13000992;13000995;13000997;13000999;10103511;10154215;11062753;10241165;11819436;10329658;10329702;10352075;10397170;11378724;10442063;20598859;16213431;16213432;16213459;16213565;16217565;16219910;23244601;25240041;25240491;25240783;25240991;25241052;25241066;25241070;25241360;25241565;24773270;53731873;53731875;53731876;53731877;53731878;57397115;56617616;56634323;59373178;66995391;66995546;66995580;66995721;71308946;71309396;87528067;87221210;87471585;88455641;90120010;91590842;102122880;101731663;102152000;102176479;100915787;101868632;102601151;102602169;102602342;117064739;119078553;119078554;119080919;118264378;124202794;129736625;131701211;134501265;131860346;131868860;134866153;138986901	HMDB:(159);PubChem class - food;SuperNatural:(SN00000169 SN00001028);ZINC bio:(ZINC00001927 ZINC00105196);additional;HSDB:(63-91-2);MeSH:(994 6140 6925665);Plantcyc:(CPD-216 PHE B-DMAN-HEX-1:5);PubMed;NORMAN:(NS00002612);COCONUT:(CNP0082854 CNP0082855 CNP0193965);KNApSAcK:(1386);Natural Products:(UNPD39371 UNPD26171);PubChem:(994 6140 71567 450580 450585 450605 2724448 3823098 5460949 5460950 5460952 5460953 5460957 5460958 10511283 10511284 10702212 6919011 6925665 12132826 12132829 9877477 10012270 9989619 13000972 13000974 13000976 13000978 13000981 13000983 13000986 13000987 13000992 13000995 13000997 13000999 10103511 10154215 11062753 10241165 11819436 10329658 10329702 10352075 10397170 11378724 10442063 20598859 16213431 16213432 16213459 16213565 16217565 16219910 23244601 25240041 25240491 25240783 25240991 25241052 25241066 25241070 25241360 25241565 24773270 53731873 53731875 53731876 53731877 53731878 57397115 56617616 56634323 59373178 66995391 66995546 66995580 66995721 71308946 71309396 87528067 87221210 87471585 88455641 90120010 91590842 102122880 101731663 102152000 102176479 100915787 101868632 102601151 102602169 102602342 117064739 119078553 119078554 119080919 118264378 124202794 129736625 131701211 134501265 131860346 131868860 134866153 138986901);CHEBI:(76052 17295 57981 32494 58095 32505 32487 32504 16998 32495 32486 28044);PubChem class - bio and metabolites;KEGG:(C00079 C02265 C02057);PubChem class - safety and toxic;YMDB:(304 995);Training Set;PubChem class - drug;Biocyc:(CPD-216 PHE SMA-0000294 SMA-0000352)	255847294	166.08635	29.351347225841778	257_group1_sirius_96	96
21	1	1	1	1	0.9835024499778473	-1.7531209504907543	N/A	17.458146444343804	C9H9NO3	[M + H]+	QIAFMBKCNZACKA	InChI=1S/C9H9NO3/c11-8(12)6-10-9(13)7-4-2-1-3-5-7/h1-5H,6H2,(H,10,13)(H,11,12)	hippurate	C1=CC=C(C=C1)C(=O)NCC(=O)O	0.600287497	464;4402710;10702514;12196855;10080996;10081033;21724896;87502669;101624378;121225314;131875852	HMDB:(714 62583);SuperNatural:(SN00343500 SN00117207);ZINC bio:(ZINC00097685);additional;MeSH:(464);Plantcyc:(CPD-425);PubMed;NORMAN:(NS00013745);COCONUT:(CNP0076185 CNP0081667 CNP0201196);KNApSAcK:(30483);Natural Products:(UNPD111463);PubChem:(464 4402710 10702514 12196855 10080996 10081033 21724896 87502669 101624378 121225314 131875852);CHEBI:(18089 606565);PubChem class - bio and metabolites;KEGG:(C01586);PubChem class - safety and toxic;Training Set;PubChem class - drug;Biocyc:(CPD-425)	121563518	180.06564	98.53310116718782	5819_group1_sirius_584	584
22	1	1	1	5	0.9831452529546817	-7.97520134550451	N/A	43.901440291700595	C16H34O9	[M + H]+	GLZWNFNQMJAZGY	InChI=1S/C16H34O9/c17-1-3-19-5-7-21-9-11-23-13-15-25-16-14-24-12-10-22-8-6-20-4-2-18/h17-18H,1-16H2	PED-diol (n=8)	C(COCCOCCOCCOCCOCCOCCOCCO)O	-2.20000005	78798	NORMAN:(NS00010524);COCONUT:(CNP0348115);HMDB:(94680);PubChem class - food;PubChem:(78798);CHEBI:(44794);Maconda:(CON00075);PubChem class - bio and metabolites;PubChem class - safety and toxic;PubMed;KEGG Mine	8810398826	371.22762	139.0924980974474	3023_group1_sirius_1226	1226
23	1	1	1	1	0.9781812358905115	-2.7178235544208595	N/A	39.24475707916978	C16H33NO	[M + H]+	HSEMFIZWXHQJAE	InChI=1S/C16H33NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H2,17,18)	Amide 16	CCCCCCCCCCCCCCCC(=O)N	5.67695093	69421;87611917	HMDB:(12273);PubChem class - food;SuperNatural:(SN00273163);additional;MeSH:(69421);PubMed;NORMAN:(NS00014846);COCONUT:(CNP0243925);KNApSAcK:(37269);Natural Products:(UNPD146161);PubChem:(69421 87611917);YMDB Mine;CHEBI:(74475);PubChem class - bio and metabolites;EcoCyc Mine;PubChem class - safety and toxic;Training Set;Biocyc:(CPD6666-3);KEGG Mine	60351629438	256.26394	384.58090806579423	3880_group1_sirius_12958	12958
24	1	1	2	8	0.9762188448415656	-4.156223311251207	N/A	124.11906822708575	C12H22O6	[M + H]+	BQRISQXLSXCXSC	InChI=1S/C12H22O6/c13-8-10(14)9-18-12(17)7-5-3-1-2-4-6-11(15)16/h10,13-14H,1-9H2,(H,15,16)	null	C(CCCC(=O)O)CCCC(=O)OCC(CO)O	1.1241287	45783154;51694371;51694373	COCONUT:(CNP0245107 CNP0254850);PubChem:(45783154 51694371 51694373);SuperNatural:(SN00034248 SN00034247);ZINC bio:(ZINC35465469 ZINC35465472);additional;Training Set	3694594	263.149	173.18338867187498	2349_group1_sirius_2819	2819
