query_spectrum_nr,ms2query_model_prediction,precursor_mz_difference,precursor_mz_query_spectrum,precursor_mz_analog,inchikey,analog_compound_name,smiles,retention_time,feature_id,cf_kingdom,cf_superclass,cf_class,cf_subclass,cf_direct_parent,npc_class_results,npc_superclass_results,npc_pathway_results
11,0.7903,0.0001,151.1119,151.1120,ULDHMXUKGWMISQ,CARVONE,C=C(C)[C@H]1CC=C(C)C(=O)C1,152.7150,1770,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Menthane monoterpenoids,Menthane monoterpenoids,Monoterpenoids,Terpenoids
12,0.7804,0.0001,151.1119,151.1120,ULDHMXUKGWMISQ,CARVONE,C=C(C)[C@H]1CC=C(C)C(=O)C1,167.9810,2573,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Menthane monoterpenoids,Menthane monoterpenoids,Monoterpenoids,Terpenoids
13,0.3775,234.1212,152.0068,386.1280,AKHPLUPJRABLGT,"(6-methyl-6-azabicyclo[4.4.0]dec-2-yl)methyl 2-(2,4-dichlorophenoxy)acetate, i odide M",C[N+]12CCCCC1C(COC(=O)COc1ccc(Cl)cc1Cl)CCC2,522.8390,15331,Organic compounds,Alkaloids and derivatives,Lupin alkaloids,Lupinine-type alkaloids,Lupinine-type alkaloids,,,
14,0.3029,76.0678,152.1071,76.0393,DHMQDGOQFOQNFH,glycine,NCC(=O)O,148.2200,1587,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids,Aminoacids,Small peptides,Amino acids and Peptides
15,0.8364,0.0003,153.0547,153.0550,XQXPVVBIMDBYFF,4-HYDROXYPHENYL ACETIC ACID,C1=C(C=CC(=C1)O)CC(=O)O,120.3700,764,Organic compounds,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,1-hydroxy-2-unsubstituted benzenoids,Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
16,0.8564,0.0003,153.0547,153.0550,XQXPVVBIMDBYFF,4-HYDROXYPHENYL ACETIC ACID,C1=C(C=CC(=C1)O)CC(=O)O,128.7010,968,Organic compounds,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,1-hydroxy-2-unsubstituted benzenoids,Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
17,0.8064,0.0002,153.0548,153.0550,WHSXTWFYRGOBGO,3-METHYLSALICYLIC ACID,CC1=CC=CC(=C1O)C(=O)O,144.3510,1389,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Salicylic acids,Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
18,0.8309,0.0001,153.0911,153.0910,BDJRBEYXGGNYIS,AZELATE,OC(=O)CCCCCCCC(O)=O,240.6880,6600,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
19,0.8192,0.0001,153.0911,153.0910,BDJRBEYXGGNYIS,AZELATE,OC(=O)CCCCCCCC(O)=O,217.7650,5366,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
20,0.7944,0.0001,153.0911,153.0910,BDJRBEYXGGNYIS,AZELATE,OC(=O)CCCCCCCC(O)=O,32.8240,192,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
21,0.7662,0.0001,153.0911,153.0910,BDJRBEYXGGNYIS,AZELATE,OC(=O)CCCCCCCC(O)=O,133.3700,1039,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
22,0.5284,18.0471,153.0911,135.0440,ZEYHEAKUIGZSGI,4-METHOXYBENZOIC ACID,COc1ccc(C(=O)O)cc1,180.0790,3168,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,P-methoxybenzoic acids and derivatives,Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
23,0.8228,0.0001,153.0911,153.0910,BDJRBEYXGGNYIS,AZELATE,OC(=O)CCCCCCCC(O)=O,196.6490,4109,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
24,0.6246,0.0005,153.1275,153.1270,AZOCECCLWFDTAP,"(1R,4R)-Dihydrocarvone from METLIN",C[C@@H]1CC[C@H](CC1=O)C(=C)C,414.5470,14272,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Menthane monoterpenoids,Menthane monoterpenoids,Monoterpenoids,Terpenoids
25,0.2939,164.9980,154.0750,319.0730,MQOBSOSZFYZQOK,2-[4-(4-chlorobenzoyl)phenoxy]-2-methyl-propionic acid,c1cc(C(=O)c2ccc(cc2)OC(C(=O)O)(C)C)ccc1Cl,32.8010,211,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzophenones,Benzophenones,,,Shikimates and Phenylpropanoids
26,0.6237,0.0003,154.0863,154.0860,WFCLWJHOKCQYOQ,1_acetylpiperidine_4_carboxylic_acid,CC(=O)N1CCC(CC1)C(=O)O,62.9910,443,Organic compounds,Organoheterocyclic compounds,Piperidines,Piperidinecarboxylic acids and derivatives,Piperidinecarboxylic acids,Pyrrolidine alkaloids,Ornithine alkaloids,Alkaloids
27,0.8651,0.0004,154.1226,154.1230,JAWPQJDOQPSNIQ,Gabapentin-lactam|2-azaspiro[4.5]decan-3-one,O=C1CC2(CN1)CCCCC2,150.4570,1743,Organic compounds,Organoheterocyclic compounds,Azaspirodecane derivatives,,Azaspirodecane derivatives,,,Alkaloids
28,0.5503,253.0983,154.1227,407.2210,OJMMVQQUTAEWLP,"N-[2-hydroxy-1-(3,4,5-trihydroxy-6-methylsulfanyloxan-2-yl)propyl]-1-methyl-4-propylpyrrolidine-2-carboxamide",CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)O,108.9660,639,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Thioglycosides,Aminoglycosides,Aminosugars and aminoglycosides,Carbohydrates
29,0.5545,161.0119,154.1591,315.1710,POBUZCPTKMKCIE,N-benzyl-2-(N-(furan-2-ylmethyl)acetamido)butanamide,CCC(C(=O)NCc1ccccc1)N(Cc2ccco2)C(C)=O,273.5350,8344,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids and derivatives,,,Amino acids and Peptides
30,0.3459,144.6780,154.5440,299.2220,SRMPRRDLILJEAW,Acaranoic acid,CCCCCCCCCC[C@H]1C[C@H]([C@@H](C(=O)O1)C)C(=O)O,188.1540,3700,Organic compounds,Organoheterocyclic compounds,Lactones,Delta valerolactones,Delta valerolactones,Paraconic acids and derivatives,Fatty acyls,Fatty acids
31,0.4090,306.3670,154.9670,461.3340,MDSUKZSLOATHMH,Leu-Val,CC(C)C[C@@H](C(=O)N[C@@H](C(C)C)C(=O)O)N,388.5000,13291,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Dipeptides,Small peptides,Amino acids and Peptides
32,0.3459,241.3800,154.9670,396.3470,TYWACVZIFBZIQZ,"(2S,3S)-3-methyl-2-[[(Z)-octadec-9-enoyl]amino]pentanoic acid",CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H]([C@@H](C)CC)C(=O)O,369.5850,12242,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Isoleucine and derivatives,N-acyl amines,Fatty amides,Fatty acids
33,0.3459,241.3800,154.9670,396.3470,UMOAAMQGRRCHPA,(2S)-4-methyl-2-[[(Z)-octadec-9-enoyl]amino]pentanoic acid,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](CC(C)C)C(=O)O,380.8330,12847,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Leucine and derivatives,N-acyl amines,Fatty amides,Fatty acids
34,0.3459,241.3567,154.9903,396.3470,TYWACVZIFBZIQZ,"(2S,3S)-3-methyl-2-[[(Z)-octadec-9-enoyl]amino]pentanoic acid",CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H]([C@@H](C)CC)C(=O)O,366.8500,12128,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Isoleucine and derivatives,N-acyl amines,Fatty amides,Fatty acids
35,0.3041,22.8884,154.9904,132.1020,AGPKZVBTJJNPAG,ISOLEUCINE,CC[C@H](C)[C@H](N)C(O)=O,360.2260,11758,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Isoleucine and derivatives,Aminoacids,Small peptides,Amino acids and Peptides
36,0.3459,188.1956,154.9904,343.1860,DAOGFHQPAHSMQS,1_proprionylpyrrolidine_2_carboxylic_acid,CCC(=O)N1CCCC1C(=O)O,348.7900,11263,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",N-acyl-alpha amino acids,Dipeptides,Small peptides,Amino acids and Peptides
37,0.8128,0.0003,155.0703,155.0700,XQDNFAMOIPNVES,"""3,5-DIMETHOXYPHENOL""",COC1=CC(=CC(=C1)OC)O,186.2260,3527,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Methoxyphenols,Acyl phloroglucinols,Phloroglucinols,Polyketides
38,0.6237,0.0003,155.0703,155.0700,XQDNFAMOIPNVES,"""3,5-DIMETHOXYPHENOL""",COC1=CC(=CC(=C1)OC)O,62.0150,415,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Methoxyphenols,Acyl phloroglucinols,Phloroglucinols,Polyketides
39,0.6296,0.0003,155.0703,155.0700,XQDNFAMOIPNVES,"""3,5-DIMETHOXYPHENOL""",COC1=CC(=CC(=C1)OC)O,66.8020,462,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Methoxyphenols,Acyl phloroglucinols,Phloroglucinols,Polyketides
40,0.6296,0.0004,155.0704,155.0700,XQDNFAMOIPNVES,"""3,5-DIMETHOXYPHENOL""",COC1=CC(=CC(=C1)OC)O,77.7720,502,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Methoxyphenols,Acyl phloroglucinols,Phloroglucinols,Polyketides
41,0.8191,0.0004,155.0704,155.0700,XQDNFAMOIPNVES,"""3,5-DIMETHOXYPHENOL""",COC1=CC(=CC(=C1)OC)O,166.2720,2510,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Methoxyphenols,Acyl phloroglucinols,Phloroglucinols,Polyketides
42,0.7843,0.0004,155.0704,155.0700,XQDNFAMOIPNVES,"""3,5-DIMETHOXYPHENOL""",COC1=CC(=CC(=C1)OC)O,155.4230,2189,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Methoxyphenols,Acyl phloroglucinols,Phloroglucinols,Polyketides
43,0.4090,456.3823,155.1067,611.4890,GQEOLYBERRZZCE,8-hydroxy-8-(3-octyloxiran-2-yl)octanoic acid [IIN-based on: CCMSLIB00000846585],CCCCCCCCC1OC1C(O)CCCCCCC(O)=O,261.2550,7743,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,Lineolic acids and derivatives,Other Octadecanoids,Octadecanoids,Fatty acids
44,0.4090,560.2813,155.1067,715.3880,QYCCCSUFDHWKRW,"[(2R,3R,4S,5S,6R)-3-acetyloxy-2-(acetyloxymethyl)-5-hexanoyloxy-6-[(2S,3R)-2,3,4-trihydroxybutoxy]oxan-4-yl] 14-hydroxytetradecanoate",CCCCCC(=O)O[C@H]1[C@@H](OC(=O)CCCCCCCCCCCCCO)[C@H](OC(C)=O)[C@@H](COC(C)=O)O[C@H]1OC[C@H](O)[C@H](O)CO,83.5880,531,Organic compounds,Lipids and lipid-like molecules,Saccharolipids,,Saccharolipids,Fatty acyl glycosides of mono- and disaccharides,Fatty acyl glycosides,Fatty acids
45,0.5240,176.1042,155.1068,331.2110,NEVPBIQTDNVVMK,"(E)-10-(3,5-dihydroxy-6-methyloxan-2-yl)oxyundec-2-enoic acid",CC(CCCCCC\C=C\C(O)=O)OC1OC(C)C(O)CC1O,213.5170,5080,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar acids and derivatives,Ascarosides,Fatty acyl glycosides,Fatty acids
46,0.3459,179.0382,155.1068,334.1450,WYCZUUHKVLVXMQ,"3-[(3-fluorophenyl)amino]-1-(3,4,5-trimethoxyphenyl)propan-1-one",COc1cc(C(=O)CCNc2cccc(F)c2)cc(OC)c1OC,165.8840,2469,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Alkyl-phenylketones,,,Shikimates and Phenylpropanoids
47,0.4090,544.3452,155.1068,699.4520,LJMPEBJKUBHVKR,"2-[3,21-dihydroxy-20-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxydocosan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",CC(O)C(CCCCCCCCCCCCCCCCC(O)C(C)OC1OC(CO)C(O)C(O)C1O)OC2OC(CO)C(O)C(O)C2O,201.6580,4494,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl glycosides,Fatty acyl glycosides of mono- and disaccharides,Fatty acyl glycosides of mono- and disaccharides,Fatty acyl glycosides,Fatty acids
48,0.3365,123.0209,155.1181,278.1390,IHYIZOZHEMEBGX,N-fumarylmexiletine,CC(COc1c(C)cccc1C)NC(=O)\C=C\C(O)=O,110.0850,635,Organic compounds,Benzenoids,Phenol ethers,,Phenol ethers,Simple amide alkaloids,Peptide alkaloids,Alkaloids
49,0.6526,0.0001,156.0111,156.0110,ZMCHBSMFKQYNKA,2-Aminobenzenesulfonic acid,Nc1ccccc1S(=O)(=O)O,146.9220,1520,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzenesulfonic acids and derivatives,Benzenesulfonic acids and derivatives,,,
50,0.3459,153.1156,156.1384,309.2540,CMQOSWNHMUHIJJ,(E)-N-butyl-N-(1-(cyclohexylamino)-1-oxobutan-2-yl)but-2-enamide,C/C=C/C(=O)N(CCCC)C(CC)C(=O)NC1CCCCC1,187.1170,3615,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,N-acyl amines,,,
51,0.5542,70.0275,156.1385,226.1660,ISEUFVQQFVOBCY,"6-methoxy-2-N,4-N-di(propan-2-yl)-1,3,5-triazine-2,4-diamine",COC1=NC(NC(C)C)=NC(NC(C)C)=N1,140.9610,1306,Organic compounds,Organoheterocyclic compounds,Triazines,"1,3,5-triazines","2-methoxy-1,3,5-triazines",Phenylalanine-derived alkaloids,Pseudoalkaloids,Alkaloids
52,0.6250,0.0004,157.0496,157.0500,RLWWKLWEBQOOAB,2-(hydroxymethyl)-5-methoxy-4H-pyran-4-one,O=C1C=C(OC=C1OC)CO,214.4380,5153,Organic compounds,Organoheterocyclic compounds,Pyrans,Pyranones and derivatives,Pyranones and derivatives,4-pyrone derivatives,Cyclic polyketides,Polyketides
53,0.4090,278.2453,157.0497,435.2950,SCABKEBYDRTODC,bis[2-(2-butoxyethoxy)ethyl] hexanedioate,CCCCOCCOCCOC(=O)CCCCC(=O)OCCOCCOCCCC,32.5450,194,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,Triacylglycerols,Glycerolipids,Fatty acids
54,0.3459,153.2973,157.0497,310.3470,UZFYSJNBWVQZQB,"(2R,6R)-2-methyl-6-pentadecylpiperidine",CCCCCCCCCCCCCCC[C@@H]1N[C@@H](C)CCC1,156.1190,1945,Organic compounds,Alkaloids and derivatives,,,Alkaloids and derivatives,Piperidine alkaloids,Lysine alkaloids,Alkaloids
55,0.7491,0.0007,157.0843,157.0850,TYFQFVWCELRYAO,SUBERATE,OC(=O)CCCCCCC(O)=O,33.2570,195,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
56,0.7658,0.0000,157.0850,157.0850,TYFQFVWCELRYAO,SUBERATE,OC(=O)CCCCCCC(O)=O,30.5450,73,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
57,0.7209,0.0007,157.0853,157.0860,TYFQFVWCELRYAO,Octanedioic acid,O=C(O)CCCCCCC(=O)O,44.1210,328,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
58,0.8656,0.0000,157.0860,157.0860,TYFQFVWCELRYAO,Octanedioic acid,O=C(O)CCCCCCC(=O)O,66.1700,460,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
59,0.7658,0.0000,157.0860,157.0860,TYFQFVWCELRYAO,Octanedioic acid,O=C(O)CCCCCCC(=O)O,128.7260,1005,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
60,0.8656,0.0001,157.0861,157.0860,TYFQFVWCELRYAO,Octanedioic acid,O=C(O)CCCCCCC(=O)O,155.2380,1962,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
61,0.6237,0.0004,157.1224,157.1220,JVJFIQYAHPMBBX,4-Hydroxynonenal,CCCCCC(/C=C/C=O)O,124.3860,819,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,Fatty alcohols,Fatty aldehydes,Fatty acyls,Fatty acids
62,0.8191,0.0004,157.1224,157.1220,JVJFIQYAHPMBBX,4-Hydroxynonenal,CCCCCC(/C=C/C=O)O,244.0310,6787,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,Fatty alcohols,Fatty aldehydes,Fatty acyls,Fatty acids
63,0.7326,0.0004,157.1224,157.1220,JVJFIQYAHPMBBX,4-Hydroxynonenal,CCCCCC(/C=C/C=O)O,219.5570,5439,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,Fatty alcohols,Fatty aldehydes,Fatty acyls,Fatty acids
64,0.4090,405.9926,157.5674,563.5600,FATBGEAMYMYZAF,"9-Octadecenamide, (Z)-",CCCCCCCC/C=C\CCCCCCCC(=O)N,240.7030,6630,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Fatty amides,Primary amides,Fatty amides,Fatty acids
65,0.3459,175.5580,157.6550,333.2130,DHLXQJRATUXKKM,GOLA_N6_2_5-amino-5-carboxypentyl amino -2-oxoethyl lysine,NC(CCCCNCC(=O)NCCCCC(N)C(O)=O)C(O)=O,297.5000,9302,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acid amides,Aminoacids,Small peptides,Amino acids and Peptides
66,0.7408,0.0004,158.1176,158.1180,GYDJEQRTZSCIOI,TRANEXAMIC ACID,C1CC(CCC1CN)C(=O)O,61.5900,446,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids,Aminoacids,Small peptides,Amino acids and Peptides
67,0.5554,87.0683,158.1177,245.1860,JWBXCSQZLLIOCI,Ile-Leu,CC[C@H](C)[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)O)N,148.5900,1639,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Dipeptides,Small peptides,Amino acids and Peptides
68,0.7585,0.0003,158.1177,158.1180,GYDJEQRTZSCIOI,TRANEXAMIC ACID,C1CC(CCC1CN)C(=O)O,119.0180,699,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids,Aminoacids,Small peptides,Amino acids and Peptides
69,0.8255,0.0000,158.1540,158.1540,DKPMWHFRUGMUKF,hyocholic acid,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H]([C@@H]([C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,244.2190,6796,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives","Trihydroxy bile acids, alcohols and derivatives",Cholane steroids,Steroids,Terpenoids
70,0.5279,71.0018,158.1542,229.1560,BBIXOODYWPFNDT,Ile-Pro,CC[C@H](C)[C@@H](C(=O)N1CCC[C@H]1C(=O)O)N,208.8830,4788,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Dipeptides,Small peptides,Amino acids and Peptides
71,0.2939,169.2865,158.9615,328.2480,IKQUESGRCDRZTI,3-hydroxy-N-(2-oxooxolan-3-yl)tetradecanamide,CCCCCCCCCCCC(O)CC(=O)NC1CCOC1=O,392.9570,13549,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",N-acyl-alpha amino acids and derivatives,Fatty acyl homoserine lactones,Fatty amides,Fatty acids
72,0.2590,872.6285,158.9615,1031.5900,XSOLDPYUICCHJX,taurohyocholic acid,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H]([C@@H]([C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,366.6140,12166,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives","Trihydroxy bile acids, alcohols and derivatives",Cholane steroids,Steroids,Terpenoids
73,0.2939,335.3315,158.9615,494.2930,OYWYHAQWNNRFLI,Cysteine conjugated cholic acid,C[C@H](CCC(N[C@@H](CS)C(O)=O)=O)[C@H]1CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C,383.5520,13076,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",Glycinated bile acids and derivatives,Cholane steroids,Steroids,Terpenoids
74,0.2653,301.3265,158.9615,460.2880,RIGHMQLKMHLMQD,Cysteine conjugated chenodeoxycholic acid,C[C@H](CCC(N[C@@H](CS)C(O)=O)=O)[C@H]1CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,373.1550,12538,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",Glycinated bile acids and derivatives,Cholane steroids,Steroids,Terpenoids
75,0.2325,132.1285,158.9615,291.0900,IVUXTESCPZUGJC,"3-[4-(4-chlorophenoxy)phenyl]-1,1-dimethylurea",CN(C)C(=O)NC1=CC=C(OC2=CC=C(Cl)C=C2)C=C1,378.2230,12774,Organic compounds,Benzenoids,Benzene and substituted derivatives,Diphenylethers,Diphenylethers,,,
76,0.2939,388.3835,158.9615,547.3450,BPGPGGCPMGCTHJ,Desferrioxamine A1,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCN)O)O)O,407.9930,14077,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,Acetohydroxamic acids,N-acyl amines,Fatty amides,Fatty acids
