query_spectrum_nr,ms2query_model_prediction,precursor_mz_difference,precursor_mz_query_spectrum,precursor_mz_analog,inchikey,analog_compound_name,smiles,retention_time,feature_id,cf_kingdom,cf_superclass,cf_class,cf_subclass,cf_direct_parent,npc_class_results,npc_superclass_results,npc_pathway_results
64,0.5550,28.0690,157.0850,185.1540,PHXATPHONSXBIL,FIO00261 gamma-Undecalactone,CCCCCCC[C@@H](C1)OC(=O)C1,30.7450,94,Organic compounds,Organoheterocyclic compounds,Lactones,Gamma butyrolactones,Gamma butyrolactones,Lactones,Fatty esters,Fatty acids
65,0.7218,0.0007,157.0853,157.0860,TYFQFVWCELRYAO,Octanedioic acid,O=C(O)CCCCCCC(=O)O,43.8800,361,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
66,0.7658,0.0000,157.0860,157.0860,TYFQFVWCELRYAO,Octanedioic acid,O=C(O)CCCCCCC(=O)O,72.3030,654,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
67,0.8394,0.0000,157.0860,157.0860,TYFQFVWCELRYAO,Octanedioic acid,O=C(O)CCCCCCC(=O)O,66.2860,582,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
68,0.6246,0.0003,157.1223,157.1220,JVJFIQYAHPMBBX,4-Hydroxynonenal,CCCCCC(/C=C/C=O)O,124.3650,1151,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,Fatty alcohols,Fatty aldehydes,Fatty acyls,Fatty acids
69,0.7665,0.0004,157.1224,157.1220,JVJFIQYAHPMBBX,4-Hydroxynonenal,CCCCCC(/C=C/C=O)O,244.2600,7135,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,Fatty alcohols,Fatty aldehydes,Fatty acyls,Fatty acids
70,0.6237,0.0004,157.1224,157.1220,JVJFIQYAHPMBBX,4-Hydroxynonenal,CCCCCC(/C=C/C=O)O,219.5360,5893,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,Fatty alcohols,Fatty aldehydes,Fatty acyls,Fatty acids
71,0.6246,0.0005,157.1225,157.1220,JVJFIQYAHPMBBX,4-Hydroxynonenal,CCCCCC(/C=C/C=O)O,200.5330,4740,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,Fatty alcohols,Fatty aldehydes,Fatty acyls,Fatty acids
72,0.4090,405.9816,157.5674,563.5490,FATBGEAMYMYZAF,"9-Octadecenamide, (Z)-",CCCCCCCC/C=C\CCCCCCCC(=O)N,240.7280,6959,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Fatty amides,Primary amides,Fatty amides,Fatty acids
74,0.7408,0.0004,158.1176,158.1180,GYDJEQRTZSCIOI,TRANEXAMIC ACID,C1CC(CCC1CN)C(=O)O,62.2610,549,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids,Aminoacids,Small peptides,Amino acids and Peptides
75,0.5533,75.0314,158.1176,233.1490,DRCKHKZYDLJYFQ,Ile-Thr,CCC(C)C(C(=O)NC(C(C)O)C(=O)O)N,148.5810,2047,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Dipeptides,Small peptides,Amino acids and Peptides
76,0.6237,0.0003,158.1177,158.1180,GYDJEQRTZSCIOI,TRANEXAMIC ACID,C1CC(CCC1CN)C(=O)O,119.2290,947,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids,Aminoacids,Small peptides,Amino acids and Peptides
77,0.8326,0.0000,158.1540,158.1540,DKPMWHFRUGMUKF,hyocholic acid,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H]([C@@H]([C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,244.2760,7136,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives","Trihydroxy bile acids, alcohols and derivatives",Cholane steroids,Steroids,Terpenoids
78,0.5279,71.0018,158.1542,229.1560,BBIXOODYWPFNDT,Ile-Pro,CC[C@H](C)[C@@H](C(=O)N1CCC[C@H]1C(=O)O)N,208.8830,5272,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Dipeptides,Small peptides,Amino acids and Peptides
79,0.2939,169.2866,158.9614,328.2480,IKQUESGRCDRZTI,3-hydroxy-N-(2-oxooxolan-3-yl)tetradecanamide,CCCCCCCCCCCC(O)CC(=O)NC1CCOC1=O,393.6280,14569,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",N-acyl-alpha amino acids and derivatives,Fatty acyl homoserine lactones,Fatty amides,Fatty acids
