query_spectrum_nr,ms2query_model_prediction,precursor_mz_difference,precursor_mz_query_spectrum,precursor_mz_analog,inchikey,analog_compound_name,smiles,retention_time,feature_id,cf_kingdom,cf_superclass,cf_class,cf_subclass,cf_direct_parent,npc_class_results,npc_superclass_results,npc_pathway_results
12,0.6069,352.2089,151.0971,503.3060,PSVXZQVXSXSQRO,Undecaethylene glycol,C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,356.2300,11271,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,Polyethylene glycols,Monoacylglycerols,Glycerolipids,Fatty acids
13,0.6074,352.2027,151.0973,503.3000,PSVXZQVXSXSQRO,Undecaethylene glycol,C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,394.4900,12946,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,Polyethylene glycols,Monoacylglycerols,Glycerolipids,Fatty acids
14,0.4090,308.1885,151.0975,459.2860,DTPCFIHYWYONMD,Decaethylene glycol,C(COCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,411.7930,13490,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,Polyethylene glycols,Monoacylglycerols,Glycerolipids,Fatty acids
15,0.7690,0.0002,151.1118,151.1120,ULDHMXUKGWMISQ,CARVONE,C=C(C)[C@H]1CC=C(C)C(=O)C1,249.6270,6900,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Menthane monoterpenoids,Menthane monoterpenoids,Monoterpenoids,Terpenoids
16,0.7517,0.0002,151.1118,151.1120,ULDHMXUKGWMISQ,CARVONE,C=C(C)[C@H]1CC=C(C)C(=O)C1,272.0320,8057,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Menthane monoterpenoids,Menthane monoterpenoids,Monoterpenoids,Terpenoids
17,0.7804,0.0001,151.1119,151.1120,ULDHMXUKGWMISQ,CARVONE,C=C(C)[C@H]1CC=C(C)C(=O)C1,213.9270,5278,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Menthane monoterpenoids,Menthane monoterpenoids,Monoterpenoids,Terpenoids
18,0.7800,0.0001,151.1119,151.1120,ULDHMXUKGWMISQ,CARVONE,C=C(C)[C@H]1CC=C(C)C(=O)C1,152.7950,1813,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Menthane monoterpenoids,Menthane monoterpenoids,Monoterpenoids,Terpenoids
19,0.7800,0.0001,151.1119,151.1120,ULDHMXUKGWMISQ,CARVONE,C=C(C)[C@H]1CC=C(C)C(=O)C1,168.0780,2607,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Menthane monoterpenoids,Menthane monoterpenoids,Monoterpenoids,Terpenoids
20,0.3775,234.1212,152.0068,386.1280,AKHPLUPJRABLGT,"(6-methyl-6-azabicyclo[4.4.0]dec-2-yl)methyl 2-(2,4-dichlorophenoxy)acetate, i odide M",C[N+]12CCCCC1C(COC(=O)COc1ccc(Cl)cc1Cl)CCC2,523.0630,14744,Organic compounds,Alkaloids and derivatives,Lupin alkaloids,Lupinine-type alkaloids,Lupinine-type alkaloids,,,
21,0.8374,0.0003,152.0707,152.0710,ADVGKWPZRIDURE,N-(2-hydroxyphenyl)acetamide,CC(=O)NC1=C(O)C=CC=C1,44.3350,316,Organic compounds,Benzenoids,Benzene and substituted derivatives,Anilides,Acetanilides,,Anthranilic acid alkaloids,Alkaloids
22,0.3029,76.0678,152.1071,76.0393,DHMQDGOQFOQNFH,glycine,NCC(=O)O,148.2120,1640,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids,Aminoacids,Small peptides,Amino acids and Peptides
23,0.8357,0.0003,153.0547,153.0550,XQXPVVBIMDBYFF,4-HYDROXYPHENYL ACETIC ACID,C1=C(C=CC(=C1)O)CC(=O)O,120.3200,815,Organic compounds,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,1-hydroxy-2-unsubstituted benzenoids,Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
24,0.8357,0.0003,153.0547,153.0550,XQXPVVBIMDBYFF,4-HYDROXYPHENYL ACETIC ACID,C1=C(C=CC(=C1)O)CC(=O)O,128.7940,1032,Organic compounds,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,1-hydroxy-2-unsubstituted benzenoids,Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
25,0.8135,0.0002,153.0548,153.0550,WHSXTWFYRGOBGO,3-METHYLSALICYLIC ACID,CC1=CC=CC(=C1O)C(=O)O,144.2940,1443,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Salicylic acids,Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
26,0.8312,0.0001,153.0549,153.0550,SULYEHHGGXARJS,"""2',4'-DIHYDROXYACETOPHENONE""",CC(=O)C1=C(O)C=C(O)C=C1,181.3870,3134,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Alkyl-phenylketones,,,Shikimates and Phenylpropanoids
27,0.8216,0.0000,153.0910,153.0910,BDJRBEYXGGNYIS,AZELATE,OC(=O)CCCCCCCC(O)=O,240.5900,6423,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
28,0.7658,0.0001,153.0911,153.0910,BDJRBEYXGGNYIS,AZELATE,OC(=O)CCCCCCCC(O)=O,121.0350,795,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
29,0.8216,0.0001,153.0911,153.0910,BDJRBEYXGGNYIS,AZELATE,OC(=O)CCCCCCCC(O)=O,219.3580,5350,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
30,0.8216,0.0001,153.0911,153.0910,BDJRBEYXGGNYIS,AZELATE,OC(=O)CCCCCCCC(O)=O,32.7360,178,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
31,0.7649,0.0001,153.0911,153.0910,BDJRBEYXGGNYIS,AZELATE,OC(=O)CCCCCCCC(O)=O,308.0610,9414,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
32,0.8142,0.0001,153.0911,153.0910,BDJRBEYXGGNYIS,AZELATE,OC(=O)CCCCCCCC(O)=O,133.6870,1100,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
33,0.8191,0.0001,153.0911,153.0910,BDJRBEYXGGNYIS,AZELATE,OC(=O)CCCCCCCC(O)=O,180.0660,3163,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
34,0.8306,0.0001,153.0911,153.0910,BDJRBEYXGGNYIS,AZELATE,OC(=O)CCCCCCCC(O)=O,195.8060,4000,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
35,0.6246,0.0005,153.1275,153.1270,AZOCECCLWFDTAP,"(1R,4R)-Dihydrocarvone from METLIN",C[C@@H]1CC[C@H](CC1=O)C(=C)C,414.8320,13615,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Menthane monoterpenoids,Menthane monoterpenoids,Monoterpenoids,Terpenoids
36,0.6237,0.0003,154.0863,154.0860,WFCLWJHOKCQYOQ,1_acetylpiperidine_4_carboxylic_acid,CC(=O)N1CCC(CC1)C(=O)O,63.0450,467,Organic compounds,Organoheterocyclic compounds,Piperidines,Piperidinecarboxylic acids and derivatives,Piperidinecarboxylic acids,Pyrrolidine alkaloids,Ornithine alkaloids,Alkaloids
37,0.5503,253.0983,154.1227,407.2210,OJMMVQQUTAEWLP,"N-[2-hydroxy-1-(3,4,5-trihydroxy-6-methylsulfanyloxan-2-yl)propyl]-1-methyl-4-propylpyrrolidine-2-carboxamide",CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)O,109.3330,687,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Thioglycosides,Aminoglycosides,Aminosugars and aminoglycosides,Carbohydrates
38,0.4090,306.3670,154.9670,461.3340,MDSUKZSLOATHMH,Leu-Val,CC(C)C[C@@H](C(=O)N[C@@H](C(C)C)C(=O)O)N,388.6860,12733,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Dipeptides,Small peptides,Amino acids and Peptides
39,0.3459,241.3800,154.9670,396.3470,TYWACVZIFBZIQZ,"(2S,3S)-3-methyl-2-[[(Z)-octadec-9-enoyl]amino]pentanoic acid",CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H]([C@@H](C)CC)C(=O)O,369.1040,11754,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Isoleucine and derivatives,N-acyl amines,Fatty amides,Fatty acids
40,0.3459,241.3800,154.9670,396.3470,UMOAAMQGRRCHPA,(2S)-4-methyl-2-[[(Z)-octadec-9-enoyl]amino]pentanoic acid,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](CC(C)C)C(=O)O,381.0550,12257,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Leucine and derivatives,N-acyl amines,Fatty amides,Fatty acids
41,0.3459,241.3566,154.9904,396.3470,TYWACVZIFBZIQZ,"(2S,3S)-3-methyl-2-[[(Z)-octadec-9-enoyl]amino]pentanoic acid",CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H]([C@@H](C)CC)C(=O)O,366.4030,11687,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Isoleucine and derivatives,N-acyl amines,Fatty amides,Fatty acids
42,0.3041,22.8884,154.9904,132.1020,AGPKZVBTJJNPAG,ISOLEUCINE,CC[C@H](C)[C@H](N)C(O)=O,360.3280,11371,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Isoleucine and derivatives,Aminoacids,Small peptides,Amino acids and Peptides
43,0.3459,188.1956,154.9904,343.1860,DAOGFHQPAHSMQS,1_proprionylpyrrolidine_2_carboxylic_acid,CCC(=O)N1CCCC1C(=O)O,348.6210,10953,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",N-acyl-alpha amino acids,Dipeptides,Small peptides,Amino acids and Peptides
44,0.8199,0.0003,155.0703,155.0700,XQDNFAMOIPNVES,"""3,5-DIMETHOXYPHENOL""",COC1=CC(=CC(=C1)OC)O,185.9640,3497,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Methoxyphenols,Acyl phloroglucinols,Phloroglucinols,Polyketides
45,0.6296,0.0003,155.0703,155.0700,XQDNFAMOIPNVES,"""3,5-DIMETHOXYPHENOL""",COC1=CC(=CC(=C1)OC)O,60.2180,408,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Methoxyphenols,Acyl phloroglucinols,Phloroglucinols,Polyketides
46,0.6246,0.0003,155.0703,155.0700,XQDNFAMOIPNVES,"""3,5-DIMETHOXYPHENOL""",COC1=CC(=CC(=C1)OC)O,64.9410,482,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Methoxyphenols,Acyl phloroglucinols,Phloroglucinols,Polyketides
47,0.6246,0.0004,155.0704,155.0700,XQDNFAMOIPNVES,"""3,5-DIMETHOXYPHENOL""",COC1=CC(=CC(=C1)OC)O,77.7560,537,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Methoxyphenols,Acyl phloroglucinols,Phloroglucinols,Polyketides
48,0.6246,0.0004,155.0704,155.0700,XQDNFAMOIPNVES,"""3,5-DIMETHOXYPHENOL""",COC1=CC(=CC(=C1)OC)O,166.2260,2549,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Methoxyphenols,Acyl phloroglucinols,Phloroglucinols,Polyketides
49,0.7654,0.0004,155.0704,155.0700,XQDNFAMOIPNVES,"""3,5-DIMETHOXYPHENOL""",COC1=CC(=CC(=C1)OC)O,155.3940,2218,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Methoxyphenols,Acyl phloroglucinols,Phloroglucinols,Polyketides
50,0.4090,713.6453,155.1067,868.7520,VESVDAJIPQIOEH,TG(17:1/18:1/18:2),CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCCC)COC(=O)CCCCCCC/C=C\C/C=C\CCCCC,83.4270,559,Organic compounds,Lipids and lipid-like molecules,Glycerolipids,Triradylcglycerols,Triacylglycerols,Triacylglycerols,Glycerolipids,Fatty acids
51,0.4090,293.1772,155.1068,448.2840,CVUGQYANPDQHFV,smenospongidine,C=C1CCC[C@]2([H])[C@]1(C)CC[C@H](C)[C@]2(CC(C(C(NCCC3=CC=CC=C3)=C4)=O)=C(O)C4=O)C,165.8970,2518,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Quinone and hydroquinone lipids,Prenylquinones,Halimane diterpenoids,Diterpenoids,Terpenoids
52,0.4090,381.3092,155.1068,536.4160,FZSYYVOKNJZJTF,"2-(21-amino-3,20-dihydroxydocosan-2-yl)oxy-6-(hydroxymethyl)oxane-3,4,5-triol",CC(N)C(O)CCCCCCCCCCCCCCCCC(O)C(C)OC1OC(CO)C(O)C(O)C1O,213.5240,4997,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl glycosides,Fatty acyl glycosides of mono- and disaccharides,Sphingoid bases,Sphingolipids,Fatty acids
53,0.4090,608.4132,155.1068,763.5200,PBYPZVMETKFGQR,"5-[5-[5-(3,5-dihydroxydecanoyloxy)-3-hydroxydecanoyl]oxy-3-hydroxydecanoyl]oxy-3-hydroxydecanoic acid",CCCCCC(O)CC(O)CC(=O)OC(CCCCC)CC(O)CC(=O)OC(CCCCC)CC(O)CC(=O)OC(CCCCC)CC(O)CC(O)=O,201.6780,4401,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Tetracarboxylic acids and derivatives,Tetracarboxylic acids and derivatives,Fatty acid estolides,Fatty esters,Fatty acids
54,0.3365,123.0210,155.1180,278.1390,IHYIZOZHEMEBGX,N-fumarylmexiletine,CC(COc1c(C)cccc1C)NC(=O)\C=C\C(O)=O,109.9590,681,Organic compounds,Benzenoids,Phenol ethers,,Phenol ethers,Simple amide alkaloids,Peptide alkaloids,Alkaloids
55,0.3459,153.1156,156.1384,309.2540,CMQOSWNHMUHIJJ,(E)-N-butyl-N-(1-(cyclohexylamino)-1-oxobutan-2-yl)but-2-enamide,C/C=C/C(=O)N(CCCC)C(CC)C(=O)NC1CCCCC1,187.1570,3574,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,N-acyl amines,,,
56,0.5542,70.0275,156.1385,226.1660,ISEUFVQQFVOBCY,"6-methoxy-2-N,4-N-di(propan-2-yl)-1,3,5-triazine-2,4-diamine",COC1=NC(NC(C)C)=NC(NC(C)C)=N1,141.0060,1363,Organic compounds,Organoheterocyclic compounds,Triazines,"1,3,5-triazines","2-methoxy-1,3,5-triazines",Phenylalanine-derived alkaloids,Pseudoalkaloids,Alkaloids
57,0.4090,278.2454,157.0496,435.2950,SCABKEBYDRTODC,bis[2-(2-butoxyethoxy)ethyl] hexanedioate,CCCCOCCOCCOC(=O)CCCCC(=O)OCCOCCOCCCC,32.6150,172,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,Triacylglycerols,Glycerolipids,Fatty acids
58,0.4090,278.2107,157.0843,435.2950,SCABKEBYDRTODC,bis[2-(2-butoxyethoxy)ethyl] hexanedioate,CCCCOCCOCCOC(=O)CCCCC(=O)OCCOCCOCCCC,33.1810,187,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,Triacylglycerols,Glycerolipids,Fatty acids
59,0.7942,0.0000,157.0850,157.0850,TYFQFVWCELRYAO,SUBERATE,OC(=O)CCCCCCC(O)=O,30.6480,87,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
60,0.4090,278.2097,157.0853,435.2950,SCABKEBYDRTODC,bis[2-(2-butoxyethoxy)ethyl] hexanedioate,CCCCOCCOCCOC(=O)CCCCC(=O)OCCOCCOCCCC,43.5800,327,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,Triacylglycerols,Glycerolipids,Fatty acids
61,0.7658,0.0000,157.0860,157.0860,TYFQFVWCELRYAO,Octanedioic acid,O=C(O)CCCCCCC(=O)O,129.4410,1105,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
62,0.8191,0.0000,157.0860,157.0860,TYFQFVWCELRYAO,Octanedioic acid,O=C(O)CCCCCCC(=O)O,66.3400,488,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
63,0.8611,0.0001,157.0861,157.0860,TYFQFVWCELRYAO,Octanedioic acid,O=C(O)CCCCCCC(=O)O,155.2030,2011,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
64,0.6246,0.0004,157.1224,157.1220,JVJFIQYAHPMBBX,4-Hydroxynonenal,CCCCCC(/C=C/C=O)O,124.0340,900,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,Fatty alcohols,Fatty aldehydes,Fatty acyls,Fatty acids
65,0.8007,0.0004,157.1224,157.1220,JVJFIQYAHPMBBX,4-Hydroxynonenal,CCCCCC(/C=C/C=O)O,243.6460,6684,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,Fatty alcohols,Fatty aldehydes,Fatty acyls,Fatty acids
66,0.6246,0.0004,157.1224,157.1220,JVJFIQYAHPMBBX,4-Hydroxynonenal,CCCCCC(/C=C/C=O)O,219.6300,5341,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,Fatty alcohols,Fatty aldehydes,Fatty acyls,Fatty acids
67,0.6246,0.0005,157.1225,157.1220,JVJFIQYAHPMBBX,4-Hydroxynonenal,CCCCCC(/C=C/C=O)O,114.8880,721,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,Fatty alcohols,Fatty aldehydes,Fatty acyls,Fatty acids
68,0.6535,0.0005,157.1225,157.1220,JVJFIQYAHPMBBX,4-Hydroxynonenal,CCCCCC(/C=C/C=O)O,200.7170,4185,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,Fatty alcohols,Fatty aldehydes,Fatty acyls,Fatty acids
69,0.4090,416.8046,157.5674,574.3720,FZSYYVOKNJZJTF,"2-(21-amino-3,20-dihydroxydocosan-2-yl)oxy-6-(hydroxymethyl)oxane-3,4,5-triol",CC(N)C(O)CCCCCCCCCCCCCCCCC(O)C(C)OC1OC(CO)C(O)C(O)C1O,240.6770,6445,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl glycosides,Fatty acyl glycosides of mono- and disaccharides,Sphingoid bases,Sphingolipids,Fatty acids
70,0.7408,0.0004,158.1176,158.1180,GYDJEQRTZSCIOI,TRANEXAMIC ACID,C1CC(CCC1CN)C(=O)O,62.0040,471,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids,Aminoacids,Small peptides,Amino acids and Peptides
71,0.5529,75.0313,158.1177,233.1490,DRCKHKZYDLJYFQ,Ile-Thr,CCC(C)C(C(=O)NC(C(C)O)C(=O)O)N,148.5240,1681,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Dipeptides,Small peptides,Amino acids and Peptides
72,0.8097,0.0003,158.1177,158.1180,GYDJEQRTZSCIOI,TRANEXAMIC ACID,C1CC(CCC1CN)C(=O)O,119.4480,774,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids,Aminoacids,Small peptides,Amino acids and Peptides
73,0.8326,0.0000,158.1540,158.1540,DKPMWHFRUGMUKF,hyocholic acid,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H]([C@@H]([C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,244.2300,6682,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives","Trihydroxy bile acids, alcohols and derivatives",Cholane steroids,Steroids,Terpenoids
74,0.5279,71.0018,158.1542,229.1560,BBIXOODYWPFNDT,Ile-Pro,CC[C@H](C)[C@@H](C(=O)N1CCC[C@H]1C(=O)O)N,208.8830,4706,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Dipeptides,Small peptides,Amino acids and Peptides
75,0.2653,301.3265,158.9615,460.2880,RIGHMQLKMHLMQD,Cysteine conjugated chenodeoxycholic acid,C[C@H](CCC(N[C@@H](CS)C(O)=O)=O)[C@H]1CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,375.9340,12137,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",Glycinated bile acids and derivatives,Cholane steroids,Steroids,Terpenoids
76,0.2939,169.2865,158.9615,328.2480,IKQUESGRCDRZTI,3-hydroxy-N-(2-oxooxolan-3-yl)tetradecanamide,CCCCCCCCCCCC(O)CC(=O)NC1CCOC1=O,393.7660,12967,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",N-acyl-alpha amino acids and derivatives,Fatty acyl homoserine lactones,Fatty amides,Fatty acids
77,0.2939,335.3315,158.9615,494.2930,OYWYHAQWNNRFLI,Cysteine conjugated cholic acid,C[C@H](CCC(N[C@@H](CS)C(O)=O)=O)[C@H]1CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C,383.9260,12497,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",Glycinated bile acids and derivatives,Cholane steroids,Steroids,Terpenoids
78,0.2939,145.0385,158.9615,304.0000,VHETUFZJAFEOIC,N-phenethyldodecanamide,CCCCCCCCCCCC(=O)NCCC1=CC=CC=C1,379.3640,12258,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,N-acyl amines,N-acyl amines,Fatty amides,Fatty acids
